tweet_id,favorites,retweets,date_time
892420643555336193,35151,7427,2017-08-01 16:23:56+00:00
892177421306343426,30431,5519,2017-08-01 00:17:27+00:00
891815181378084864,22890,3645,2017-07-31 00:18:03+00:00
891689557279858688,38424,7589,2017-07-30 15:58:51+00:00
891327558926688256,36694,8179,2017-07-29 16:00:24+00:00
891087950875897856,18486,2740,2017-07-29 00:08:17+00:00
890971913173991426,10754,1773,2017-07-28 16:27:12+00:00
890729181411237888,59181,16608,2017-07-28 00:22:40+00:00
890609185150312448,25482,3791,2017-07-27 16:25:51+00:00
890240255349198849,29064,6434,2017-07-26 15:59:51+00:00
890006608113172480,28037,6453,2017-07-26 00:31:25+00:00
889880896479866881,25509,4385,2017-07-25 16:11:53+00:00
889665388333682689,43781,8806,2017-07-25 01:55:32+00:00
889638837579907072,24611,3936,2017-07-25 00:10:02+00:00
889531135344209921,13861,1984,2017-07-24 17:02:04+00:00
889278841981685760,22957,4683,2017-07-24 00:19:32+00:00
888917238123831296,26573,3938,2017-07-23 00:22:39+00:00
888804989199671297,23321,3725,2017-07-22 16:56:37+00:00
888554962724278272,17992,3045,2017-07-22 00:23:06+00:00
888078434458587136,19885,3051,2017-07-20 16:49:33+00:00
887705289381826560,27649,4753,2017-07-19 16:06:48+00:00
887517139158093824,42314,10359,2017-07-19 03:39:09+00:00
887473957103951883,62641,15820,2017-07-19 00:47:34+00:00
887343217045368832,30713,9265,2017-07-18 16:08:03+00:00
887101392804085760,27983,5248,2017-07-18 00:07:08+00:00
886983233522544640,31730,6725,2017-07-17 16:17:36+00:00
886736880519319552,10911,2797,2017-07-16 23:58:41+00:00
886680336477933568,20539,3937,2017-07-16 20:14:00+00:00
886366144734445568,19280,2783,2017-07-15 23:25:31+00:00
886267009285017600,108,3,2017-07-15 16:51:35+00:00
886258384151887873,25542,5567,2017-07-15 16:17:19+00:00
886054160059072513,0,96,2017-07-15 02:45:48+00:00
885984800019947520,29759,5908,2017-07-14 22:10:11+00:00
885528943205470208,32810,5623,2017-07-13 15:58:47+00:00
885518971528720385,18697,3286,2017-07-13 15:19:09+00:00
885311592912609280,0,16278,2017-07-13 01:35:06+00:00
885167619883638784,19978,3849,2017-07-12 16:03:00+00:00
884925521741709313,70126,15888,2017-07-12 00:01:00+00:00
884876753390489601,25383,4911,2017-07-11 20:47:12+00:00
884562892145688576,22174,4134,2017-07-11 00:00:02+00:00
884441805382717440,24763,5018,2017-07-10 15:58:53+00:00
884247878851493888,66099,17866,2017-07-10 03:08:17+00:00
